Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1556,7446,11585976,Bengaluru,0
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,November 2020,3,1300,7307,9499100,Bengaluru,0
Not Available,Not Available,Not Available,Available,Available,Available,Not Available,Available,Under Construction,3,NaN,New,NaN,NaN,NaN,December 2020,3,1354,7418,10043972,Bengaluru,0
Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,3,1060,6695,7096700,Bengaluru,763
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1311,5491,7198701,Bengaluru,0
Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Under Construction,1,NaN,New,NaN,NaN,NaN,December 2020,2,900,6795,6115500,Bengaluru,675
Not Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1073,6523,6999179,Bengaluru,0
Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1118,7226,8078668,Bengaluru,838
Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1065,6693,7128045,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1275,5735,7312125,Bengaluru,0
Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Under Construction,1,NaN,New,NaN,NaN,NaN,December 2020,1,635,7071,4490085,Bengaluru,0
Not Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1531,6988,10698628,Bengaluru,0
Not Available,Not Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1116,6667,7440372,Bengaluru,0
Not Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1480,6750,9990000,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1650,5931,9786150,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1650,5931,9786150,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1575,5690,8961750,Bengaluru,0
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,3,1075,4837,5199775,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,2050,6146,12599300,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1850,6162,11399700,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,2050,6146,12599300,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1575,5690,8961750,Bengaluru,0
Available,Available,Not Available,Not Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1850,6162,11399700,Bengaluru,0
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,New,NaN,NaN,NaN,October 2020,2,1050,4000,4200000,Bengaluru,820
Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,December 2020,2,1305,6602,8615610,Bengaluru,0
Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1325,6593,8735725,Bengaluru,0
Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1630,6380,10399400,Bengaluru,0
Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,2,1325,6593,8735725,Bengaluru,0
Available,Not Available,Available,Available,Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,December 2020,3,1630,6380,10399400,Bengaluru,0
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1401,5852,8198652,Bengaluru,0
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,2,980,6326,6199480,Bengaluru,0
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1449,6418,9299682,Bengaluru,0
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,3,1449,6418,9299682,Bengaluru,0
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2020,2,980,6326,6199480,Bengaluru,0
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,Gr,New,NaN,NaN,NaN,May 2020,2,1106,5282,5841892,Bengaluru,0
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,December 2020,2,942,5944,5599248,Bengaluru,0
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,Gr,New,NaN,NaN,NaN,May 2020,3,1411,5202,7340022,Bengaluru,0
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,Gr,New,NaN,NaN,NaN,May 2020,3,1348,5712,7699776,Bengaluru,0
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,Gr,New,NaN,NaN,NaN,May 2020,3,1347,5216,7025952,Bengaluru,0
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,Gr,New,NaN,NaN,NaN,May 2020,2,1288,5230,6736240,Bengaluru,0
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,Gr,New,NaN,NaN,NaN,May 2020,3,1496,5185,7756760,Bengaluru,0
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,Gr,New,NaN,NaN,NaN,May 2020,2,1084,5290,5734360,Bengaluru,0
Available,Available,Not Available,Available,Available,Available,Available,Available,Under Construction,NaN,Gr,New,NaN,NaN,NaN,May 2020,2,809,5419,4383971,Bengaluru,0
Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,2,1238,5226,6469788,Bengaluru,0
Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,3,1647,5176,8524872,Bengaluru,0
Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,3,1710,5171,8842410,Bengaluru,0
Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,2,1368,5207,7123176,Bengaluru,0
Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,2,1278,5220,6671160,Bengaluru,0
Not Available,Available,Not Available,Available,Not Available,Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,4,2061,5146,10605906,Bengaluru,0
